Waiting for operation to complete...
Transcript: pochwała wieku dojrzałego że często o tym wieku gdy zwierzę ginie w człowieku gdy już żadna z ziemskich uci władzy ducha nie ukróci Jak to musi być przyjemnie nic poza mną wszystko we mnie zmysłów swoich gęstą pianę zbierasz sobie jak śmietany i rzucasz czy to nie prościej na ekran nieskończoności oczyszczony duchu lata w harmonijne kręgi świata dokoła człowiek Spogląda nic nie pragnie nic nie żąda w ciągłej ekstazie na jawie żyje się za bezcen prawie a czas to dopiero zyski żaden ciała popęd niski roboczego dnia nie kurczy nie zawadza w pracy twórczej spokoju mocą tajemną nie wygania cię w noc ciemną będziesz tam niebiańskim spokojem Siedzisz przy biurku swoim Huczy dymi samowarek
Confidence: 0.8909538388252258
Word: pochwała, start_time: 0.0, end_time: 0.9
Word: przy, start_time: 261.3, end_time: 261.6
Word: zabawie, start_time: 261.6, end_time: 262.0
Word: w, start_time: 262.0, end_time: 262.2
Word: każdej, start_time: 262.2, end_time: 263.2
Word: sytuacji, start_time: 263.2, end_time: 263.4
Word: prawie, start_time: 263.4, end_time: 264.4
Word: Czy, start_time: 264.4, end_time: 265.0
Word: przy, start_time: 265.0, end_time: 265.3
Word: politycznej, start_time: 265.3, end_time: 266.0
Word: misji, start_time: 266.0, end_time: 266.5
Word: Czy, start_time: 266.5, end_time: 266.8
Word: w, start_time: 266.8, end_time: 266.9
Word: teatralnej, start_time: 266.9, end_time: 267.4
Word: komisji, start_time: 267.4, end_time: 268.2
Word: wiek, start_time: 268.2, end_time: 268.9
Word: dojrzały, start_time: 268.9, end_time: 269.6
Word: ma, start_time: 269.6, end_time: 270.1
Word: bez, start_time: 270.1, end_time: 270.6
Word: Black, start_time: 270.6, end_time: 271.0
Word: i, start_time: 271.0, end_time: 271.1
Word: tak, start_time: 271.1, end_time: 271.9
Word: oczywiste, start_time: 271.9, end_time: 272.7
Word: przewali, start_time: 272.7, end_time: 273.2
Word: że, start_time: 273.2, end_time: 274.5
Word: życzę, start_time: 274.5, end_time: 274.9
Word: wam, start_time: 274.9, end_time: 275.2
Word: bracia, start_time: 275.2, end_time: 275.5
Word: mili, start_time: 275.5, end_time: 276.0
Word: byście, start_time: 276.0, end_time: 276.8
Word: go, start_time: 276.8, end_time: 277.2
Word: rychło, start_time: 277.2, end_time: 278.2
Word: dożyli, start_time: 278.2, end_time: 279.1
