zaniesłyszałem	za.ɲɛ.swɨˈʂa.wɛm
grzeczniusie	ɡʐɛt͡ʂˈɲu.ɕɛ
grzeczniusiego	ɡʐɛt͡ʂ.ɲuˈɕɛ.ɡɔ
grzeczniusiej	ɡʐɛt͡ʂˈɲu.ɕɛj
grzeczniusiem	ɡʐɛt͡ʂˈɲu.ɕɛm
grzeczniusiemu	ɡʐɛt͡ʂ.ɲuˈɕɛ.mu
grzeczniusim	ɡʐɛt͡ʂˈɲu.ɕim
grzeczniusimi	ɡʐɛt͡ʂˈɲu.ɕiˈmʲ.i
grzeczniusiom	ɡʐɛt͡ʂˈɲu.ɕɔm
grzeczniusiów	ɡʐɛt͡ʂˈɲu.ɕuf
grzeczniusiowi	ɡʐɛt͡ʂˈɲu.ɕɔˈvʲ.i
grzeczniusiu	ɡʐɛt͡ʂˈɲu.ɕu
grzmotliwa	ɡʐmɔtˈlʲi.va
grzmotliwą	ɡʐmɔtˈlʲi.vɔ̃
grzmotliwe	ɡʐmɔtˈlʲi.vɛ
grzmotliwej	ɡʐmɔtˈlʲi.vɛj
grzmotliwemu	ɡʐmɔt.lʲiˈvɛ.mu
grzmotliwi	ˈɡʐmɔt.lʲiˈvʲ.i
grzmotliwy	ɡʐmɔtˈlʲi.vɨ
grzmotliwych	ɡʐmɔtˈlʲi.vɨx
grzmotliwym	ɡʐmɔtˈlʲi.vɨm
grzmotliwymi	ɡʐmɔtˈlʲi.vɨˈmʲ.i
Grzybowscy	ɡʐɨˈbɔf.st͡sɨ
Grzybowskich	ɡʐɨˈbɔf.skʲix
Grzybowskiego	ɡʐɨ.bɔfˈskʲɛ.ɡɔ
Grzybowskiemu	ɡʐɨ.bɔfˈskʲɛ.mu
Grzybowskim	ɡʐɨˈbɔf.skʲim
Grzybowskimi	ɡʐɨˈbɔf.skʲiˈmʲ.i
grzywce	ˈɡʐɨf.t͡sɛ
grzywek	ˈɡʐɨ.vɛk
grzywką	ˈɡʐɨf.kɔ̃
grzywkach	ˈɡʐɨf.kax
grzywkami	ˈɡʐɨf.kaˈmʲ.i
grzywkę	ˈɡʐɨf.kɛ
grzywki	ɡʐɨfˈkʲ.i
grzywko	ˈɡʐɨf.kɔ
grzywkom	ˈɡʐɨf.kɔm
guberscy	ɡuˈbɛr.st͡sɨ
guberska	ɡuˈbɛr.ska
guberską	ɡuˈbɛr.skɔ̃
guberski	ˈɡu.bɛrsˈkʲ.i
guberskich	ɡuˈbɛr.skʲix
guberskie	ɡuˈbɛr.skʲɛ
guberskiego	ɡu.bɛrˈskʲɛ.ɡɔ
guberskiej	ɡuˈbɛr.skʲɛj
guberskiemu	ɡu.bɛrˈskʲɛ.mu
guberskimi	ɡuˈbɛr.skʲiˈmʲ.i
gwiaździarstw	ˈɡvʲaʑ.d͡ʑarstf
gwiaździarstwa	ɡvʲaʑˈd͡ʑar.stfa
gwiaździarstwach	ɡvʲaʑˈd͡ʑar.stfax
gwiaździarstwami	ɡvʲaʑˈd͡ʑar.stfaˈmʲ.i
gwiaździarstwem	ɡvʲaʑˈd͡ʑar.stfɛm
gwiaździarstwie	ɡvʲaʑˈd͡ʑar.stfʲɛ
gwiaździarstwo	ɡvʲaʑˈd͡ʑar.stfɔ
gwiaździarstwom	ɡvʲaʑˈd͡ʑar.stfɔm
gzems	ɡzɛms
gzemsami	ˈɡzɛm.saˈmʲ.i
gzemsem	ˈɡzɛm.sɛm
gzemsom	ˈɡzɛm.sɔm
gzemsowi	ˈɡzɛm.sɔˈvʲ.i
gzemsu	ˈɡzɛm.su
hajduczka	xajˈdut͡ʂ.ka
hajduczkach	xajˈdut͡ʂ.kax
hajduczkami	xajˈdut͡ʂ.kaˈmʲ.i
hajduczkiem	xajˈdut͡ʂ.kʲɛm
hajduczkom	xajˈdut͡ʂ.kɔm
hajduczków	xajˈdut͡ʂ.kuf
hajduczkowi	xajˈdut͡ʂ.kɔˈvʲ.i
hajduczkowie	xaj.dut͡ʂˈkɔ.vʲɛ
hajduczku	xajˈdut͡ʂ.ku
hajtać	ˈxaj.tat͡ɕ
hajtacie	xajˈta.t͡ɕɛ
hajtaj	ˈxaj.taj
hajtają	xajˈta.jɔ̃
hajtając	xajˈta.jɔnt͡s
hajtająca	xaj.taˈjɔn.t͡sa
hajtającą	xaj.taˈjɔn.t͡sɔ̃
hajtające	xaj.taˈjɔn.t͡sɛ
hajtającego	xaj.ta.jɔnˈt͡sɛ.ɡɔ
hajtającej	xaj.taˈjɔn.t͡sɛj
hajtającemu	xaj.ta.jɔnˈt͡sɛ.mu
hajtający	xaj.taˈjɔn.t͡sɨ
hajtających	xaj.taˈjɔn.t͡sɨx
hajtającym	xaj.taˈjɔn.t͡sɨm
hajtającymi	xaj.taˈjɔn.t͡sɨˈmʲ.i
hajtajcie	xajˈtaj.t͡ɕɛ
hajtajmy	xajˈtaj.mɨ
hajtał	ˈxaj.taw
hajtała	xajˈta.wa
hajtałaby	xaj.taˈwa.bɨ
hajtałabym	xaj.taˈwa.bɨm
hajtałabyś	xaj.taˈwa.bɨɕ
hajtałam	xajˈta.wam
hajtałaś	xajˈta.waɕ
hajtałby	xajˈtaw.bɨ
hajtałbym	xajˈtaw.bɨm
hajtałbyś	xajˈtaw.bɨɕ
hajtałem	xajˈta.wɛm
hajtałeś	xajˈta.wɛɕ
hajtali	ˈxaj.taˈlʲ.i
hajtaliby	xaj.taˈlʲi.bɨ
hajtalibyście	xaj.ta.lʲiˈbɨɕ.t͡ɕɛ
hajtalibyśmy	xaj.ta.lʲiˈbɨɕ.mɨ
hajtaliście	xaj.taˈlʲiɕ.t͡ɕɛ
hajtaliśmy	xaj.taˈlʲiɕ.mɨ
hajtało	xajˈta.wɔ
hajtałoby	xaj.taˈwɔ.bɨ
hajtały	xajˈta.wɨ
hajtałyby	xaj.taˈwɨ.bɨ
hajtałybyście	xaj.ta.wɨˈbɨɕ.t͡ɕɛ
hajtałybyśmy	xaj.ta.wɨˈbɨɕ.mɨ
hajtałyście	xaj.taˈwɨɕ.t͡ɕɛ
hajtałyśmy	xaj.taˈwɨɕ.mɨ
hajtam	ˈxaj.tam
hajtamy	xajˈta.mɨ
hajtania	xajˈta.ɲa
hajtanie	xajˈta.ɲɛ
hajtaniem	xajˈta.ɲɛm
hajtaniu	xajˈta.ɲu
hajtano	xajˈta.nɔ
hajtasz	ˈxaj.taʂ
Halicz	ˈxa.lʲit͡ʂ
Haliczach	xaˈlʲi.t͡ʂax
Haliczami	xaˈlʲi.t͡ʂaˈmʲ.i
Halicze	xaˈlʲi.t͡ʂɛ
Haliczem	xaˈlʲi.t͡ʂɛm
Haliczom	xaˈlʲi.t͡ʂɔm
Haliczów	xaˈlʲi.t͡ʂuf
Haliczowi	xaˈlʲi.t͡ʂɔˈvʲ.i
Haliczu	xaˈlʲi.t͡ʂu
