pies	/ˈpʲjɛs/
ocet	[ˈɔt͡sɛt]
obrus	/ˈɔbrus̪/
szelki	[ˈʂɛlki]
taki	[ˈt̪aci]
ul	/ul/
usta	[ˈusta]
wiek	[vʲjɛk]
winda	[ˈvinda]
ruda	/ˈruda/
sekund	[ˈs̪ɛkũn̪t̪]
sekunda	/s̪ɛˈkun̪d̪a/
brak	/brak/
kod	/kɔt̪/
Göteborg	/ˈɡɛtɛbɔrk/
kantor	/ˈkan̪t̪ɔr/
jagoda	/jaˈɡɔd̪a/
ciemny	/ˈt͡ɕɛmn̪ɨ/
ciepły	[ˈt͡ɕɛpwɨ]
ciało	/ˈt͡ɕawɔ/
ciasny	/ˈt͡ɕas̪n̪ɨ/
ciasto	[ˈt͡ɕas̪t̪ɔ]
cichy	[ˈt͡ɕixɨ]
nami	[ˈn̪ãmʲi]
nasi	[ˈnaɕi]
broda	/ˈbrɔda/
brodu	[ˈbrɔdu]
rano	/ˈranɔ/
oto	/ˈɔtɔ/
tani	[ˈtaɲi]
cer	/t͡sɛr/
pacha	/ˈpaxa/
glin	[ɡlin]
spadochron	[spaˈdɔxrɔn]
dali	[ˈd̪alʲi]
kokos	/ˈkɔkɔs̪/
Helena	/xɛˈlɛn̪a/
wami	[ˈvãmʲi]
maju	/ˈmaju/
orz	[ɔʂ]
pić	[pʲit͡ɕ]
byk	/bɨk/
chyba	/ˈxɨba/
wyspa	/ˈvɨs̪pa/
mięsień	[ˈmʲjẽĩ̯ɕẽɲ]
pstrąg	[ps̪t̪rɔ̃ŋk]
córka	/ˈt͡surka/
smak	[smak]
mieli	[ˈmʲjɛlʲi]
kraj	[kraj]
mam	[mãm]
kość	/kɔɕt͡ɕ/
ferm	[fɛrm]
dzień	[d͡ʑɛ̝̃ɲ]
granica	[ɡraˈɲit͡sa]
ogórek	/ɔˈɡurɛk/
debil	/ˈdɛbil/
smok	/smɔk/
gamepad	/ɡɛjmˈpat/
podcasting	/pɔtˈkastiŋk/
Wimbledon	/ˈwimblɛˌdɔn/
wafel	[ˈvafɛl]
Petersburg	[pɛˈt̪ɛrs̪burk]
waga	[ˈvaɡa]
wola	/ˈvɔla/
bosi	/ˈbɔɕi/
faul	/fawl/
beton	/ˈbɛt̪ɔn̪/
epilog	[ɛˈpilɔk]
Filip	[ˈfʲilʲip]
Kenia	/ˈkɛɲja/
złoto	/ˈzwɔtɔ/
żona	/ˈʐɔna/
uda	[ˈud̪a]
hostia	[ˈxɔstʲia]
kandela	/kan̪ˈd̪ɛla/
pisać	/ˈpʲisat͡ɕ/
panem	[ˈpãn̪ɛ̃m]
brama	[ˈbrama]
parna	/ˈparna/
lipiec	/ˈlipjɛts/
Malmö	/ˈmalmɛ/
Düsseldorf	/ˈdisɨldɔrf/
Düsseldorf	/ˈdɨsɨldɔrf/
leasing	[ˈlʲiz̪ʲĩŋk]
catering	[kaˈt̪ɛrʲĩŋk]
Pearl Harbor	/ˌpɛr(l) ˈxarbɔr/
luty	/lutɨ/
styczeń	[ˈstɨt͡ʂɛɲ]
marzec	/maʐɛts/
kwiecień	[ˈkfjɛt͡ɕɛɲ]
sierpień	/ˈɕɛrpjɛɲ/
wrzesień	/vʐɛɕɛɲ/
październik	/paʑˈdʑɛrɲik/
Portugalia	/pɔrtuˈɡalja/
Hiszpania	/çiˈʂpaɲa/
Irlandia	/irˈlandja/
Norwegia	/nɔrˈvɛɡʲa/
Szwecja	/ˈʂfɛt͡s̪ja/
Luksemburg	/ˈluksɛmburk/
Holandia	/xɔˈlandja/
Szwajcaria	/ʂfajˈt͡s̪arja/
Grecja	/ˈɡrɛt͡sja/
obszar	/ˈopʃar/
Malaga	/ˈmalaɡa/
Malaga	[ˈmäläɡä]
Malaga	/maˈlaɡa/
Malaga	[mäˈläɡä]
Bułgaria	/buwˈɡarja/
Rumunia	/ruˈmuɲja/
Będzin	/ˈbɛɲd͡ʑin/
posiadać	[pɔˈɕadat͡ɕ]
złamać	[ˈzwamat͡ɕ]
tuńczyk	/ˈtuɲt͡ʂɨk/
często	/ˈt͡ʂɛ̃stɔ/
Apia	/ˈapja/
Sparta	/ˈsparta/
Dagestan	[d̪aˈɡɛs̪t̪ãn̪]
ząb	[z̪ɔ̃mp]
włosy	[ˈvwɔsɨ]
ryba	[ˈrɨba]
drum and bass	/dram ɛn ˈbɛjs/
śniadanie	[ɕɲaˈd̪ãɲɛ]
darach	[ˈdarax]
muł	[muw]
aleje	/aˈlɛjɛ/
zawsze	[ˈz̪afʂɛ]
debata	/dɛˈbata/
chrząszcz	/xʂɔ̃ʂt͡ʂ/
skunks	/ˈskuŋks/
przykład	/ˈpʂɨkwat/
biologia	[bʲjɔˈlɔɟja]
mamo	[ˈmãmɔ]
moja	[ˈmɔja]
moje	[ˈmɔjɛ]
nade	[ˈnadɛ]
orle	/ˈɔrlɛ/
orna	/ˈɔrna/
osad	/ˈɔsat/
lody	/ˈlɔdɨ/
naleśnik	/naˈleɕɲik/
chmura	/ˈxmura/
mgła	/mɡwa/
łacina	/waˈt͡ɕina/
łabędź	/ˈwabɛɲt͡ɕ/
lód	/lut̪/
lśniący	[ˈl̥ʲɕɲɔ̃n̪t͡s̪ɨ]
gdzie	/ɡd͡ʑɛ/
ogonek	[ɔˈɡɔnɛk]
się	/ɕɛ̃/
się	 [ɕɛ̃w̃]
przepraszać	/pʂɛˈpraʂat͡ɕ/
bardzo	[ˈbard͡zɔ]
szkodzić	/ˈʂkɔd͡ʑit͡ɕ/
prosić	/ˈprɔɕit͡ɕ/
dziękować	[d͡ʑɛ̃ŋˈkɔvat͡ɕ]
porządek	[pɔˈʐɔ̃n̪d̪ɛk]
widzenie	/viˈd͡zɛɲɛ/
widzenia	/viˈd͡zɛɲa/
turysta	/tuˈrɨsta/
dobrze	/ˈdɔbʐɛ/
dobrze	[ˈdɔpʂ(ː)]
wszystko	/ˈfʂɨstkɔ/
życzyć	/ˈʐɨt͡ʂɨt͡ɕ/
pobyt	/ˈpɔbɨt/
potrzebować	/pɔtʂɛˈbɔvat͡ɕ/
słuchać	/ˈswuxat͡ɕ/
nazywać	/naˈzɨvat͡ɕ/
móc	[mut͡s]
znajdować	/znajˈdɔvat͡ɕ/
chwila	[ˈxfʲila]
czy	/t͡ʂɨ/
nazwisko	/nazˈviskɔ/
imię	/ˈimʲjɛ/
uważać	/uˈvaʐat͡ɕ/
mówić	/ˈmuvit͡ɕ/
życzenie	/ʐɨˈt͡ʂɛɲɛ/
rodzina	/rɔˈd͡ʑina/
mąż	[mɔ̃w̃ʂ]
poznać	/ˈpɔznat͡ɕ/
chcieć	/xt͡ɕɛt͡ɕ/
przyjaciel	/pʂɨˈjat͡ɕɛl/
cudzoziemiec	/t͡sud͡zɔˈʑɛmʲɛt͡s/
uczyć	/ˈut͡ʂɨt͡ɕ/
słowo	/ˈswɔvɔ/
ćma	/t͡ɕma/
samochód	/s̪aˈmɔxut̪/
świat	[ˈɕfʲjat]
ołówek	/ɔˈwuvɛk/
niestety	/ɲɛˈstɛtɨ/
pomyłka	/pɔˈmɨwka/
wewnętrzny	[vɛˈvn̪ɛ̃nt͡ʂn̪ɨ]
łączyć	[ˈwɔ̃nt͡ʂɨt͡ɕ]
przy	/pʂɨ/
niespodzianka	/ɲɛspɔˈd͡ʑanka/
dodzwonić się	/dɔˈd͡z̪vɔɲit͡ɕ ɕɛ/
miecz	[mʲjɛt͡ʂ]
ochota	/ɔˈxɔta/
wspólny	/ˈfs̪puln̪ɨ/
obiad	/ˈɔbjat̪/
przyjemność	/pʂɨˈjɛmnɔɕt͡ɕ/
plac	/plat͡s/
cztery	/ˈt͡ʂtɛrɨ/
pięć	/ˈpʲjɛɲt͡ɕ/
siedem	/ˈɕɛd̪ɛm/
osiem	/ˈɔɕɛm/
dziewięć	/ˈd͡ʑɛvʲjɛɲt͡ɕ/
dziesięć	/ˈd͡ʑɛɕɛɲt͡ɕ/
nadzieja	/naˈd͡ʑeja/
że	/ʐɛ/
wygodnie	/vɨˈɡɔdɲɛ/
wszelki	/fʂɛlkʲi/
wypadek	/vɨˈpadɛk/
dzwonić	/ˈd͡zvɔɲit͡ɕ/
tylko	/ˈtɨlkɔ/
notować	/nɔˈtɔvat͡ɕ/
teraz	/ˈtɛras/
okazja	/ɔˈkazja/
zaraz	/ˈzaras/
świetnie	/ˈɕfʲɛtɲɛ/
rozumieć	/rɔˈzumjɛt͡ɕ/
przez	/pʂɛs/
łatwy	/ˈwatfɨ/
jechać	/ˈjɛxat͡ɕ/
skręcić	[ˈs̪krɛ̃ɲt͡ɕit͡ɕ]
pierś	/pʲjɛrɕ/
prawo	/ˈpravɔ/
parno	/ˈparnɔ/
fraktal	/ˈfraktal/
herbu	[ˈxɛrbu]
sobie	[ˈs̪ɔbʲjɛ]
pociąg	/ˈpɔt͡ɕɔŋk/
dzisiaj	[ˈd͡ʑiɕɐj]
robić	/ˈrɔbit͡ɕ/
piękny	[ˈpʲjɛ̃ŋkn̪ɨ]
zwiedzać	[ˈz̪vʲjɛd͡z̪at͡ɕ]
wybierać	/vɨˈbjɛrat͡ɕ/
zamek	/ˈzamɛk/
morze	/ˈmɔʐɛ/
żubr	[ʐupr̥]
skrzyżowanie	/skʂɨʐɔˈvaɲɛ/
aż	/aʂ/
słyszeć	/ˈswɨʂɛt͡ɕ/
natychmiast	/naˈtɨxmjast/
gasić	/ˈɡaɕit͡ɕ/
zdjęcie	/ˈzdjɛɲt͡ɕɛ/
musieć	[ˈmuɕet͡ɕ]
zostawiać	/zɔˈstavjat͡ɕ/
aparat	/aˈparat/
fotograficzny	/fɔt̪ɔɡraˈfit͡ʂn̪ɨ/
butów	[ˈbutuf]
deszcz	[dɛʂt͡ʂ]
wyglądać	[vɨˈɡlɔ̃n̪d̪at͡ɕ]
pedał	/ˈpɛdaw/
chleb	/xlɛp/
alkan	/ˈalkan/
rower	[ˈrɔvɛr]
Aleksandra	/alɛˈks̪an̪d̪ra/
Aleksander	[alɛˈksandɛr]
nim	[ɲĩm]
no	[n̪ɔ]
siano	[ˈɕanɔ]
szukać	/ˈʂukat͡ɕ/
acetylen	[at͡sɛˈtɨlɛn]
Jordania	/jɔrˈdaɲja/
Kalifornia	/kaliˈfɔrɲja/
dym	/dɨm/
rada	/rada/
piernik	/ˈpʲɛr.ɲik/
wiatr	[vʲjat̪r̥]
niska	[ˈɲiska]
gry	/ɡrɨ/
antropologia	[antrɔpɔˈlɔɡʲa]
biały	[ˈbʲjawɨ]
ogon	[ˈɔɡɔn]
lasu	/ˈlasu/
temperatura	[tɛmpɛraˈtura]
jabłko	[ˈjapw̥.kɔ]
jabłko	[ˈjap.kɔ]
łosoś	/ˈwɔsɔɕ/
truskawka	/trusˈkafka/
padać	/ˈpadat͡ɕ/
joypad	/d͡ʐɔjˈpɛt/
wymowa	[vɨˈmɔva]
alkohol	/alˈkɔxɔl/
Jezus	/ˈjɛzus/
iPhone	/ˈajfɔn/
anatomia	[anaˈtɔmʲa]
pan	/pan̪/
kowal	/ˈkɔval/
Belgrad	/ˈbɛlɡrat̪/
Ibiza	[iˈbʲiz̪a]
gaje	/ˈɡajɛ/
kabel	[ˈkabɛl]
kocham cię	/ˈkɔxam t͡ɕɛ/
tapeta	[taˈpɛta]
apatia	/aˈpat̪ja/
legenda	/lɛˈɡɛnda/
terapia	/t̪ɛˈrapja/
banan	[ˈbãn̪ãn̪]
Dniepr	/dɲepr/
pyton	/ˈpɨtɔn/
krypta	/ˈkrɨpt̪a/
kilometr	[ciˈlɔ̃mɛt̪r̥]
nowa	[ˈnɔva]
amper	/ˈampɛr/
korund	/ˈkɔrunt/
jezioro	[jɛˈʑɔrɔ]
zoolog	[z̪ɔˈɔlɔk]
ropucha	/rɔˈpuxa/
drozd	[drɔst]
sernik	/ˈs̪ɛrɲik/
horoskop	/xɔˈrɔs̪kɔp/
konto	/ˈkɔn̪t̪ɔ/
palec	[ˈpalɛt͡s]
mnich	[mʲɲix]
kojot	/ˈkɔjɔt/
stopa	[ˈstɔpa]
Izrael	/iˈzrael/
botanika	/bɔˈt̪aɲika/
kutas	[ˈkut̪as̪]
duch	[dux]
lotniskowiec	[lɔt̪ʲɲiˈs̪kɔvʲjɛt͡s̪]
grupa	[ˈɡrupa]
kompas	/ˈkɔmpas/
bilet	[ˈbʲilɛt̪]
wu	/vu/
miska	[ˈmʲis̪ka]
traktor	[ˈtraktɔr]
strach	[strax]
puzon	/ˈpuzɔn/
wąż	[vɔ̃w̃ʂ]
wąż	[vɔ̃ʂ]
jeż	[jɛʂ]
pszczółka	/pʂˈt͡ʂuwka/
fregata	/frɛˈɡata/
opat	[ˈɔpat]
biskup	/ˈbiskup/
wasi	[ˈvaɕi]
lucerna	/luˈt͡s̪ɛrn̪a/
karta	/ˈkarta/
rekord	/ˈrɛkɔrt̪/
kotlet	[ˈkɔt̪lɛt̪]
lider	[ˈlidɛr]
makaron	/maˈkarɔn̪/
antonim	[anˈtɔɲim]
marksizm	/ˈmarʲcɕism̥/
mebel	[ˈmɛbɛl]
polonez	/pɔˈlɔn̪ɛs̪/
mitologia	[mʲitɔˈlɔɡʲa]
metr	[mɛt̪r̥]
ciastko	[ˈt͡ɕas̪t̪kɔ]
filtr	[fʲilt̪r̥]
flot	/flɔt/
ogień	/ˈɔɡʲɛɲ/
muli	[ˈmulʲi]
piki	[ˈpʲikʲi]
kaktus	/ˈkakt̪us̪/
kategoria	[katɛˈɡɔrʲa]
tona	/ˈt̪ɔn̪a/
margaryna	/marɡaˈrɨna/
komp	[kɔ̃mp]
szary	/ˈʂarɨ/
blada	/ˈblada/
mieć	[mʲjet͡ɕ]
cukier	[ˈt͡s̪ucɛr]
gąbka	[ˈɡɔmpka]
sos	/s̪ɔs̪/
eksport	/ˈɛkspɔrt/
kolos	/ˈkɔlɔs/
portugalski	[pɔrt̪uˈɡals̪ʲkʲi]
Turek	/ˈt̪urɛk/
kania	/ˈkaɲa/
unia	/ˈuɲja/
syty	/ˈsɨtɨ/
filologia	/filɔˈlɔɡja/
muzeum	[muˈzɛum]
entalpia	[ɛnˈtalpʲa]
komin	/ˈkɔmʲin/
mili	/ˈmi.li/
dusza	/ˈduʂa/
miód	[mʲut̪]
hokej	[ˈxɔkɛj]
Internet	/inˈtɛrnɛt/
chór	[xur]
czytać	[ˈt͡ʂɨtat͡ɕ]
sile	/ˈɕilɛ/
broń	[brɔ̃ɲ]
żółć	[ʐuwt͡ɕ]
lustro	/ˈlustrɔ/
grosz	[ɡrɔʂ]
rzecz	[ʐɛt͡ʂ]
łóżko	/ˈwuʂkɔ/
gałąź	[ˈɡawɔ̃ĩ̯ɕ]
pchła	[pxwa]
motocykl	[mɔˈtɔt͡sɨkl]
plaża	[ˈplaʐa]
Kreta	/ˈkrɛta/
Katalonia	/kat̪aˈlɔɲja/
ministrant	/mʲĩˈɲistrãnt/
flaga	/ˈflaɡa/
ryż	[rɨʂ]
napój	[ˈnapuj]
lemoniada	/lɛmɔˈɲada/
szampan	/ˈʂampan/
koniak	[ˈkɔɲak]
likier	[ˈlikʲɛr]
młyn	[mwɨn]
borsuk	/ˈbɔrsuk/
niedźwiedź	[ˈɲed͡ʑvʲjet͡ɕ]
bóbr	[ˈbupr]
cielę	[t͡ɕɛlɛ]
kogut	[ˈkɔɡut]
babcia	/ˈbapt͡ɕa/
dziadek	[ˈd͡ʑad̪ɛk]
kompost	[ˈkɔ̃mpɔs̪t̪]
epos	/ˈɛpɔs/
projekt	/ˈprɔjɛkt̪/
kakadu	/kaˈkadu/
musi	[ˈmuɕi]
bazalt	/ˈbazalt/
Piotr	[pʲɔt̪r̥]
kajak	[ˈkajak]
ciota	/ˈt͡ɕɔta/
aua	/aˈwaː/
pusta	/ˈpusta/
amnestia	[amˈnɛstja]
bełkot	/ˈbɛwkɔt̪/
Ania	/ˈaɲa/
siatkówka	[ɕat̪ˈkufka]
fonem	[ˈfɔnɛm]
pól	/pul/
jaz	/jas/
pierdut	[pʲɛrˈdut]
Ewa	/ˈɛva/
aneks	[ˈãnɛks]
mózg	/mus̪k/
agentura	/ˈaɡɛ̃ntura/
agregat	/aɡˈre.ɡat/
metoda	/mɛˈtɔda/
akronim	[aˈkrɔɲim]
alpaka	[alˈpaka]
erb	/ɛrp/
Paulina	[pawˈli.na]
Paulina	[pa.uˈli.na]
Amazonka	/amaˈz̪ɔn̪ka/
korona	/kɔˈrɔna/
lantan	/ˈlantan/
tantal	/ˈtantal/
bizmut	[ˈbizmut]
astat	/ˈastat/
arsen	[ˈarsɛn]
fenol	/ˈfɛnɔl/
kochanie	[kɔˈxãɲɛ]
Lesoto	/lɛˈsɔtɔ/
Mozambik	/mɔˈzambik/
matki	/ˈmat̪ci/
akt	/akt/
azerski	[aˈz̪ɛrs̪ʲkʲi]
cegła	[ˈt͡sɛ.ɡwa]
dech	/d̪ɛx/
fonon	/ˈfɔnɔn/
jestem	/ˈjɛs̪t̪ɛm/
ziemniak	/ˈʑɛmɲak/
papryka	/paˈprɨka/
sałata	/saˈwata/
sałata	[s̪aˈwat̪a]
burak	/ˈburak/
rzeżucha	[ʐɛˈʐuxa]
kalafior	[kaˈla.fʲjɔr]
brokuł	[ˈbrɔ.kuw]
czosnek	[ˈt͡ʂɔs.nɛk]
cukinia	/t͡s̪uˈciɲja/
dynia	/ˈdɨɲa/
szpinak	[ˈʂpʲinak]
ojciec	/ˈɔjt͡ɕɛt͡s̪/
ortografia	/ɔrt̪ɔˈɡrafja/
napletek	[naˈplɛtɛk]
srebrny	[ˈsrɛbrnɨ]
fioletowy	[fʲɔlɛˈtɔvɨ]
błękitny	[bwɛ̃ŋʲˈkʲit̪n̪ɨ]
smutek	[ˈsmutɛk]
Eleonora	/ɛlɛɔˈn̪ɔra/
ścieżka	/ˈɕt͡ɕɛʂka/
Bangladesz	/baŋɡlaˈdɛʂ/
Indie	/ˈindjɛ/
Kuwejt	/ˈkuvɛjt/
Jamajka	/jaˈmajka/
przecinek	/pʂɛˈt͡ɕin̪ɛk/
Czad	/t͡ʂat/
indyk	[ˈindɨk]
Wietnam	/ˈvjɛt̪n̪am/
waliza	[vaˈliza]
kocur	[ˈkɔt͡sur]
wymiotować	/vɨmjɔˈtɔvat͡ɕ/
kocica	[kɔˈt͡ɕit͡s̪a]
nonsens	[ˈn̪ɔ̃s̪ɛ̃s̪]
słonica	[swɔˈɲit͡sa]
marsz	[marʂ]
maszerować	[maʂɛˈrɔvat͡ɕ]
protokół	[prɔˈtɔkuw]
notatka	[nɔˈtatka]
malutki	/maˈlut̪kʲi/
głowa	[ˈɡwɔva]
kierowniczka	[kʲɛrɔˈvɲit͡ʂka]
kierować	[kʲɛˈrɔvat͡ɕ]
imiona	[iˈmjɔna]
godność	[ˈɡɔdnɔɕt͡ɕ]
nazwa	[ˈnazva]
reputacja	[rɛpuˈtat͡sja]
wskazać	/ˈfskazat͡ɕ/
liczydło	[liˈt͡ʂɨdwɔ]
sława	[ˈswava]
jesień	/ˈjɛɕɛɲ/
źródło	[ˈʑrud̪wɔ]
sprężyna	[sprɛ̃ˈʐɨna]
pomarańcza	[pɔmaˈraɲt͡ʂa]
niebo	[ˈɲɛbɔ]
niebiosa	[ɲɛˈbjɔsa]
umieć	[ˈumʲɛt͡ɕ]
kwaśny	/ˈkfaɕnɨ/
kwaśna	/ˈkfaɕna/
kwaśne	/ˈkfaɕnɛ/
Meksyk	/ˈmɛksɨk/
lekarstwo	[lɛˈkarstfɔ]
druga	[ˈd̪ruɡä]
holenderski	/xɔlɛn̪ˈd̪ɛrs̪kʲi/
lakoniczny	[lakɔˈɲit͡ʂnɨ]
albański	[alˈbãĩ̯s̪ʲkʲi]
Kostaryka	/kɔstaˈrɨka/
fabryka	[ˈfa.brɨ.ka]
zielona	/ʑɛˈlɔn̪a/
zieleń	[ʑɛlɛɲ]
srebrne	/ˈs̪rɛbrn̪ɛ/
królowa	[kruˈlɔva]
caryca	[t͡saˈrɨt͡sa]
widzieć	/ˈvid͡ʑɛt͡ɕ/
mysz	[mɨʂ]
myszka	[ˈmɨʂka]
pokolenie	[pɔkɔˈlɛɲɛ]
przyroda	[pʂɨˈrɔda]
duński	[ˈd̪ũĩ̯s̪ʲkʲi]
bateria	/baˈt̪ɛrja/
czeski	[ˈt͡ʂɛs̪kʲi]
wielobok	[vʲɛˈlɔbɔk]
wody	[ˈvɔd̪ɨ]
podlewać	/pɔˈdlɛvat͡ɕ/
rycerz	[ˈrɨt͡sɛʂ]
fiut	/fjut/
zwierzęcy	/z̪vjɛˈʐɛn̪t͡s̪ɨ/
zwierzęca	/z̪vjɛˈʐɛn̪t͡s̪a/
zwierzęce	/z̪vjɛˈʐɛn̪t͡s̪ɛ/
koniec	/ˈkɔɲɛt͡s/
karaluch	[kaˈralux]
betonowy	/bɛt̪ɔˈn̪ɔvɨ/
powietrze	/pɔˈvjɛt.ʂɛ/
odpowiedź	[ɔtˈpɔwjɛt͡ɕ]
który	[ˈkturɨ]
która	[ˈkt̪ura]
które	[ˈkt̪urɛ]
jaka	[ˈjaka]
jakie	[ˈjacɛ]
zimny	[ˈʑimnɨ]
oziębły	[ɔˈʑɛmbwɨ]
nieprzygotowany	[ɲɛpʂɨɡɔtɔˈvanɨ]
zimno	/ˈʑimnɔ/
przeziębienie	[pʂɛʑɛmˈbʲɛɲɛ]
kciuk	/kt͡ɕuk/
afrykanerski	/afrɨkaˈn̪ɛrs̪kʲi/
róża	[ˈruʒa]
cynowy	[t͡sɨˈnɔwɨ]
ametystowy	/amɛt̪ɨˈs̪t̪ɔvɨ/
wiadro	/ˈvjadrɔ/
dźwięk	[d͡ʑvʲjɛ̃ŋk]
garść	/ɡarɕt͡ɕ/
siekiera	[ɕɛˈkʲɛra]
topór	[ˈtɔpur]
siła	[ˈɕiwa]
jednostka	/jɛˈdnɔstka/
puch	[pux]
dłoń	[d̪wɔ̃ɲ]
cukierek	[t͡suˈcɛrɛk]
ołów	[ˈɔwuf]
wskazywać	/fskaˈzɨvat͡ɕ/
wychodzić	[vɨˈxɔd͡ʑit͡ɕ]
wyjście	[ˈvɨjɕt͡ɕɛ]
smycz	[smɨt͡ʂ]
żar	[ʐar]
pożar	[ˈpɔʐar]
punkt	[pũŋkt̪]
peron	/ˈpɛrɔn/
gasi	[ˈɡaɕi]
litewski	[lʲiˈt̪ɛfs̪ʲci]
litr	[ˈlʲitr]
hektar	/ˈxɛkt̪ar/
korek	/ˈkɔrɛk/
kanasta	/kaˈnasta/
mało	/ˈmawɔ/
okup	[ˈɔkup]
bezczelność	[bɛsˈt͡ʂɛl.nɔɕt͡ɕ]
bezczelny	/bɛs̪ˈt͡ʂɛln̪ɨ/
aronia	[aˈrɔɲja]
faceta	[faˈt͡s̪ɛt̪a]
starsi	/ˈstarɕi/
wrona	[ˈvrɔna]
pasożyt	/paˈsɔʐɨt/
jesteś	[ˈjɛs̪t̪ɛɕ]
jesteśmy	/jɛsˈtɛɕmɨ/
jesteście	/jɛsˈtɛɕt͡ɕɛ/
są	[s̪ɔ̃w̃]
Angielka	[ãŋʲˈɡʲɛlka]
liczba	[ˈlʲid͡ʐba]
niemiecki	/ɲɛˈmjɛt͡s̪kʲi/
niewiele	/ɲɛˈvʲɛlɛ/
pokój	[ˈpɔkuj]
podatek	[pɔˈdatɛk]
otwarty	[ɔtˈfartɨ]
otwierać	[ɔˈtfjɛrat͡ɕ]
ostatni	/ɔˈstatɲi/
wczoraj	[ˈft͡ʂɔraj]
praca	/ˈprat͡s̪a/
pracować	[praˈt͡s̪ɔvat͡ɕ]
godzina	/ɡɔˈd͡ʑina/
otchłań	[ˈɔtxwaɲ]
pieniądz	/ˈpʲeˈɲɔnts͡/
zabijać	/zaˈbijat͡ɕ/
włoski	/ˈvwɔs̪kʲi/
młody	[ˈmwɔd̪ɨ]
równoległy	[ruvn̪ɔˈlɛɡwɨ]
szachy	[ˈʂaxɨ]
gówno	[ˈɡuvn̪ɔ]
srać	[srat͡ɕ]
ręka	[ˈrɛŋka]
mój	[muj]
nasz	[n̪aʂ]
przyszłość	/ˈpʂɨʂwɔɕt͡ɕ/
ilość	[ˈilɔɕt͡ɕ]
wschodni	/ˈfsxɔdɲi/
zachodni	/zaˈxɔdɲi/
teściowa	[tɛɕˈt͡ɕɔva]
bratowa	[braˈtɔva]
zięć	/ʑɛɲt͡ɕ/
synowa	[sɨˈnɔva]
owoc	[ˈɔvɔt͡s]
śliwka	[ˈɕlifka]
miedź	[mʲjet͡ɕ]
miedziany	/mjɛˈd͡ʑan̪ɨ/
pióro	/ˈpʲurɔ/
cytryna	/t͡s̪ɨˈt̪rɨn̪a/
nietoperz	[ɲeˈtɔ.pɛʂ]
myśleć	[ˈmɨɕlɛt͡ɕ]
wygląd	[ˈvɨɡlɔ̃n̪t̪]
włos	/vwɔs/
twarz	[tfaʂ]
bułgarski	/buwˈɡars̪kʲi/
kolej	[ˈkɔlɛj]
spać	[s̪pat͡ɕ]
myśl	[mɨɕl̥]
mokry	[ˈmɔkrɨ]
kształt	[kʂtawt]
grzebień	[ˈɡʐɛbjɛɲ]
suchy	[ˈs̪uxɨ]
żelazo	/ʐɛˈlazɔ/
żelazko	[ʐɛˈlas̪kɔ]
brzuch	[bʐux]
skrzypce	[ˈskʂɨpt͡sɛ]
sokół	[ˈs̪ɔkuw]
sowa	[ˈsɔva]
nornica	[nɔrˈɲit͡sa]
tryk	[trɨk]
kier	/kʲɛr/
ciemność	/ˈt͡ɕɛmnɔɕt͡ɕ/
śmierć	/ɕmjɛrt͡ɕ/
ciężki	/ˈt͡ɕɛw̃ʂkʲi/
żołądek	[ʐɔˈwɔ̃n̪d̪ɛk]
sztuka	[ˈʂt̪uka]
grać	/ɡrat͡ɕ/
pełny	[ˈpɛwn̪ɨ]
próżnia	[ˈpruʐɲa]
odkurzacz	[ɔtˈkuʐat͡ʂ]
odwaga	/ɔˈdvaɡa/
żyd	[ʐɨt]
Żyd	[ʐɨt]
Afryka	/ˈafrɨka/
socjalizm	/sɔˈt͡sjalizm/
orzech	/ˈɔʐɛx/
ogier	[ˈɔɡʲɛr]
amerykański	[ãmɛrɨˈkãĩ̯s̪ʲkʲi]
encyklopedia	[ɛn.t͡sɨ.klɔ.pɛˈdʲja]
synonim	[sɨˈnɔɲim]
orzeł	/ˈɔʐɛw/
obecnie	[ɔˈbɛt͡sɲɛ]
telefon komórkowy	/tɛˈlɛfɔn kɔmurˈkɔvɨ/
hiszpański	[xʲiˈʂpãĩ̯s̪ʲkʲi]
grecki	/ˈɡrɛt͡s̪kʲi/
islandzki	/iˈs̪lan̪t͡s̪kʲi/
zamykać	/ˈz̪amɨkat͡ɕ/
wiedzieć	/ˈvʲjɛd͡ʑɛt͡ɕ/
znać	[z̪n̪at͡ɕ]
kopyto	/kɔˈpɨtɔ/
podmiot	[ˈpɔdmjɔt]
temat	/ˈtɛmat/
przedmiot	/ˈpʂɛdmjɔt/
odpowiadać	[ɔt̪pɔˈvʲjad̪at͡ɕ]
zegarek	[zɛˈɡarɛk]
inside job	/ˌinsajd ˈd͡ʐɔp/
małpa	/ˈmawpa/
nosić	/ˈn̪ɔɕit͡ɕ/
papież	[ˈpapjɛʂ]
podkowa	[pɔtˈkɔva]
złodziej	[ˈz̪wɔd͡ʑej]
tramwaj	[ˈtram.vaj]
koperta	/kɔˈpɛrta/
zawód	[ˈzavut]
żaba	[ˈʐaba]
korzeń	/ˈkɔʐɛɲ/
sąsiad	[ˈsɔ̃ɕat]
głupek	[ˈɡwupɛk]
dżem	/d͡ʐɛm/
pieprz	[pʲɛpʂ]
strych	[strɨx]
samobójstwo	[samɔˈbujstfɔ]
samobójca	[samɔˈbujt͡sa]
kropka	/ˈkrɔpka/
okres	[ˈɔkrɛs]
mecz	[mɛt͡ʂ]
